q wave infarction	Q wave infarction	0	40	991
queen	Accession of Queen Elizabeth II	0	40	675
queen	Ahnentafel of Queen Elizabeth II	0	40	441
queen	Ancestors of Queen Elizabeth II	0	40	618
queen	Ancestry of Queen Elizabeth II	0	40	1191
queen	Elizabeth II Queen of Great Britain	0	24	0
queen	Elizabeth II, Queen	0	24	0
queen	Elizabeth II, Queen of Antigua and Barbuda	0	24	0
queen	Elizabeth II, Queen of Australia	0	24	0
queen	Elizabeth II, Queen of Barbados	0	24	0
queen	Elizabeth II, Queen of Belize	0	24	0
queen	Elizabeth II, Queen of Canada	0	24	0
queen	Elizabeth II, Queen of Ceylon	0	24	0
queen	Elizabeth II, Queen of England	0	24	0
queen	Elizabeth II, Queen of Fiji	0	24	0
queen	Elizabeth II, Queen of Gambia	0	24	0
queen	Elizabeth II, Queen of Ghana	0	24	0
queen	Elizabeth II, Queen of Great Britain	0	24	0
queen	Elizabeth II, Queen of Grenada	0	24	0
queen	Elizabeth II, Queen of Guyana	0	24	0
queen	Elizabeth II, Queen of Jamaica	0	24	0
queen	Elizabeth II, Queen of Kenya	0	24	0
queen	Elizabeth II, Queen of Malawi	0	24	0
queen	Elizabeth II, Queen of Malta	0	24	0
queen	Elizabeth II, Queen of Mauritius	0	24	0
queen	Elizabeth II, Queen of New Zealand	0	24	0
queen	Elizabeth II, Queen of Nigeria	0	24	0
queen	Elizabeth II, Queen of Pakistan	0	24	0
queen	Elizabeth II, Queen of Papua New Guinea	0	24	0
queen	Elizabeth II, Queen of Rhodesia	0	24	0
queen	Elizabeth II, Queen of Saint Kitts and Nevis	0	24	0
queen	Elizabeth II, Queen of Saint Lucia	0	24	0
queen	Elizabeth II, Queen of Saint Vincent and the Grenadines	0	24	0
queen	Elizabeth II, Queen of Sierra Leone	0	24	0
queen	Elizabeth II, Queen of Solomon Islands	0	24	0
queen	Elizabeth II, Queen of South Africa	0	24	0
queen	Elizabeth II, Queen of Tanganyika	0	24	0
queen	Elizabeth II, Queen of The Bahamas	0	24	0
queen	Elizabeth II, Queen of Trinidad and Tobago	0	24	0
queen	Elizabeth II, Queen of Tuvalu	0	24	0
queen	Elizabeth II, Queen of Uganda	0	24	0
queen	Elizabeth II, Queen of the Commonwealth realms	0	24	0
