raccon	Raccon	0	10	0
raccons	Raccons	0	10	0
raccoon	California Raccoon	0	10	0
raccoon	California raccoon	0	10	0
raccoon	Common Raccoon	0	10	0
raccoon	Common raccoon	0	10	0
raccoon	North American raccoon	0	10	0
raccoon	Northern Raccoon	0	10	0
raccoon	Northern raccoon	0	10	0
raccoon	Pet raccoon	0	40	1018
raccoon	Raccoon	0	10	0
raccoon	Raccoon bear	0	10	0
raccoon	Raccoon meat	0	40	419
raccoon	Short-faced raccoon	0	40	149
raccoon bear	Raccoon bear	0	10	0
raccoon meat	Raccoon meat	0	40	419
raccoons	Common raccoons	0	10	0
raccoons	Cultural depictions of raccoons	0	40	900
raccoons	Evolution of raccoons	0	40	123
raccoons	Mating behavior of raccoons	0	40	234
raccoons	Northern raccoons	0	10	0
raccoons	Raccoons	0	10	0
raccoons	Raccoons in Japan	0	40	864
raccoons	Raccoons in folklore	0	40	177
raccoons	Raccoons in mythology	0	40	1173
raccoons	Reproductive behavior of raccoons	0	40	1202
raccoons	Sexual behavior of raccoons	0	40	265
raccoons	Social behavior of raccoons	0	40	1237
raccoons in folklore	Raccoons in folklore	0	40	177
raccoons in japan	Raccoons in Japan	0	40	864
raccoons in mythology	Raccoons in mythology	0	40	1173
race	Anthropomorpha race	0	0	17
race	Feral Race	0	0	17
race	Feral race	0	0	17
race	Human race	0	11	1
race	Monstrosous race	0	0	17
race	The human race	0	11	1
rackoon	Rackoon	0	10	0
racoon	California racoon	0	10	0
racoon	Common racoon	0	10	0
racoon	North American racoon	0	10	0
racoon	Northern racoon	0	10	0
racoon	Pet racoon	0	40	78
racoon	Racoon	0	10	0
racoon	Racoon bear	0	10	0
racoon bear	Racoon bear	0	10	0
racoons	Common racoons	0	10	0
racoons	Northern racoons	0	10	0
racoons	Racoons	0	10	0
racooon	Racooon	0	10	0
radial	Radial and ulnar	0	40	914
radial	Radial deviation	0	40	1251
radial and ulnar	Radial and ulnar	0	40	914
radial deviation	Radial deviation	0	40	1251
radio	Frank Page (radio)	0	20	1
radioulnar	Radioulnar	0	40	1139
railway	World Heritage Railway	0	7	1
rain	Rain in Wales	0	40	430
rain in wales	Rain in Wales	0	40	430
random	Random Mutation	0	40	533
random	Random mutation	0	40	632
random mutation	Random Mutation	0	40	533
random mutation	Random mutation	0	40	632
rank	Rank-based taxonomy	0	0	16
rank based taxonomy	Rank-based taxonomy	0	0	16
rate	Differential survival rate	0	25	1
rate	Precipitation rate	0	40	175
reader	Times Reader	0	32	0
realms	Elizabeth II of the Commonwealth realms	0	24	0
realms	Elizabeth II, Queen of the Commonwealth realms	0	24	0
realms	Elizabeth the Second, Queen of Ceylon and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, Queen of Ghana and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, Queen of Kenya and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, Queen of Mauritius and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, Queen of Sierra Leone and of Her Other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, Queen of South Africa and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, Queen of Tanganyika and of Her Other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, Queen of The Gambia and all Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, Queen of the United Kingdom and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God Queen of Australia and Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God Queen of Nigeria and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God of Jamaica and of Her other Realms and Territories Queen, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God of the United Kingdom, Canada and Her other Realms and Territories Queen, Head of the Commonwealth, Defender of the Faith	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Antigua and Barbuda and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Barbados and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Belize and of Her Other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Fiji and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Guyana and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Malta and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of New Zealand and Her Other Realms and Territories, Head of the Commonwealth, Defender of the Faith	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Papua New Guinea and Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Saint Christopher and Nevis and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Saint Lucia and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Saint Vincent and the Grenadines and Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Solomon Islands and Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Trinidad and Tobago and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Tuvalu and Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of Uganda and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, Queen of the Commonwealth of The Bahamas and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Elizabeth the Second, by the Grace of God, of the United Kingdom, Australia and Her other Realms and Territories Queen, Head of the Commonwealth, Defender of the Faith	0	24	0
realms	Elizabeth the Second, by the Grace of God, of the United Kingdom, New Zealand and Her Other Realms and Territories Queen, Head of the Commonwealth, Defender of the Faith	0	24	0
realms	Her Majesty Elizabeth the Second, by the Grace of God, Queen of Australia and Her other Realms and Territories, Head of the Commonwealth	0	24	0
realms	Queen Elizabeth II of the Commonwealth Realms	0	24	0
